,Fuel Consumption (City (L/100 km)
211,16.9
3,11.3
179,14.9
735,7.8
487,11.9
394,13.0
122,17.9
75,10.1
178,13.0
507,11.0
895,4.4
676,11.1
115,11.2
485,10.8
815,12.8
320,12.9
561,18.0
48,10.0
767,13.1
111,9.9
722,10.3
382,12.6
144,10.2
919,13.1
17,16.8
339,5.6
627,14.4
166,11.2
870,10.7
891,10.6
439,13.0
530,18.5
660,12.0
190,15.1
378,12.6
129,15.7
634,9.9
424,11.7
49,11.1
539,4.4
468,10.6
116,11.0
174,10.9
656,10.8
460,4.0
850,10.5
503,12.9
729,11.6
734,9.0
153,12.4
132,26.8
590,14.1
779,13.5
40,17.9
552,12.1
315,13.7
827,16.2
448,12.5
96,16.1
86,14.6
199,15.1
471,10.1
672,12.3
372,12.9
882,7.7
481,13.0
783,13.8
778,13.8
194,10.7
145,11.0
180,13.0
404,16.1
780,13.8
504,10.6
397,17.4
374,12.9
786,15.6
463,8.8
466,12.1
881,8.2
613,11.8
482,12.5
788,15.7
249,10.2
146,10.5
853,9.5
293,11.6
380,11.8
59,16.0
675,9.8
353,15.2
553,10.8
303,15.2
379,12.2
649,9.5
177,14.4
461,8.0
66,14.9
529,13.8
862,10.9
455,9.1
894,6.6
286,13.1
18,13.1
560,18.0
154,10.9
138,10.2
39,16.7
406,18.1
134,30.3
760,13.0
616,15.2
32,11.4
250,12.4
888,11.1
812,12.8
85,14.5
755,11.7
435,8.5
863,12.7
635,10.5
413,11.2
470,8.8
5,11.3
188,13.3
837,16.2
328,20.7
500,11.2
657,12.7
95,16.1
195,12.5
928,9.1
357,12.4
510,12.3
118,15.7
803,15.8
209,23.1
774,13.0
934,9.0
831,16.1
157,12.8
377,10.8
441,8.7
571,12.8
898,8.5
20,9.1
50,11.3
605,13.1
480,8.6
182,12.2
874,4.9
232,17.0
669,14.0
604,12.2
159,18.3
156,12.8
183,11.8
878,8.0
612,11.2
349,12.1
198,21.5
745,8.6
298,5.4
692,12.6
359,9.8
405,16.6
829,11.1
358,19.9
264,17.6
624,17.4
53,12.8
204,10.5
578,12.7
915,5.9
766,13.1
726,12.8
255,14.1
395,16.5
319,20.1
242,17.0
580,14.1
914,12.5
733,10.0
932,10.6
83,10.4
586,16.2
422,15.8
483,12.3
855,10.1
451,12.8
